tmk_key,cpr,parid,boc_tmk,unit,boc_unit,condominium_name,street_address
239004082,0026,390040820026,2-3-9-004-082-0026,G 212,G212,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 212
239004082,0027,390040820027,2-3-9-004-082-0027,G 214,G214,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 214
239004082,0028,390040820028,2-3-9-004-082-0028,G 215,G215,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 215
239004082,0029,390040820029,2-3-9-004-082-0029,H 101,H101,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 101
239004082,0030,390040820030,2-3-9-004-082-0030,H 102,H102,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 102
239004082,0031,390040820031,2-3-9-004-082-0031,H 103,H103,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 103
239004082,0032,390040820032,2-3-9-004-082-0032,H 104,H104,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 104
239004082,0033,390040820033,2-3-9-004-082-0033,H 105,H105,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 105
239004082,0034,390040820034,2-3-9-004-082-0034,H 106,H106,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 106
239004082,0035,390040820035,2-3-9-004-082-0035,H 107,H107,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 107
239004082,0036,390040820036,2-3-9-004-082-0036,H 108,H108,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 108
239004082,0037,390040820037,2-3-9-004-082-0037,H 109,H109,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 109
239004082,0038,390040820038,2-3-9-004-082-0038,H 110,H110,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 110
239004082,0039,390040820039,2-3-9-004-082-0039,H 111,H111,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 111
239004082,0040,390040820040,2-3-9-004-082-0040,H 112,H112,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 112
239004082,0041,390040820041,2-3-9-004-082-0041,H 201,H201,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 201
239004082,0042,390040820042,2-3-9-004-082-0042,H 202,H202,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 202
239004082,0043,390040820043,2-3-9-004-082-0043,H 203,H203,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 203
239004082,0044,390040820044,2-3-9-004-082-0044,H 204,H204,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 204
239004082,0045,390040820045,2-3-9-004-082-0045,H 205,H205,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 205
239004082,0046,390040820046,2-3-9-004-082-0046,H 206,H206,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 206
239004082,0047,390040820047,2-3-9-004-082-0047,H 207,H207,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 207
239004082,0048,390040820048,2-3-9-004-082-0048,H 208,H208,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 208
239004082,0049,390040820049,2-3-9-004-082-0049,H 209,H209,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 209
239004082,0050,390040820050,2-3-9-004-082-0050,H 210,H210,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 210
239004082,0051,390040820051,2-3-9-004-082-0051,H 211,H211,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 211
239004082,0052,390040820052,2-3-9-004-082-0052,H 212,H212,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT H 212
239004082,0053,390040820053,2-3-9-004-082-0053,I 101,I101,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 101
239004082,0054,390040820054,2-3-9-004-082-0054,I 102,I102,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 102
239004082,0055,390040820055,2-3-9-004-082-0055,I 103,I103,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 103
239004082,0056,390040820056,2-3-9-004-082-0056,I 104,I104,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 104
239004082,0057,390040820057,2-3-9-004-082-0057,I 105,I105,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 105
239004082,0058,390040820058,2-3-9-004-082-0058,I 106,I106,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 106
239004082,0059,390040820059,2-3-9-004-082-0059,I 107,I107,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 107
239004082,0060,390040820060,2-3-9-004-082-0060,I 108,I108,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 108
239004082,0061,390040820061,2-3-9-004-082-0061,I 109,I109,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 109
239004082,0062,390040820062,2-3-9-004-082-0062,I 110,I110,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 110
239004082,0063,390040820063,2-3-9-004-082-0063,I 111,I111,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 111
239004082,0064,390040820064,2-3-9-004-082-0064,I 112,I112,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 112
239004082,0065,390040820065,2-3-9-004-082-0065,I 114,I114,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 114
239004082,0066,390040820066,2-3-9-004-082-0066,I 115,I115,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 115
239004082,0067,390040820067,2-3-9-004-082-0067,I 116,I116,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 116
239004082,0068,390040820068,2-3-9-004-082-0068,I 117,I117,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 117
239004082,0069,390040820069,2-3-9-004-082-0069,I 118,I118,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 118
239004082,0070,390040820070,2-3-9-004-082-0070,I 119,I119,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 119
239004082,0071,390040820071,2-3-9-004-082-0071,I 201,I201,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 201
239004082,0072,390040820072,2-3-9-004-082-0072,I 202,I202,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 202
239004082,0073,390040820073,2-3-9-004-082-0073,I 203,I203,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 203
239004082,0074,390040820074,2-3-9-004-082-0074,I 204,I204,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 204
239004082,0075,390040820075,2-3-9-004-082-0075,I 205,I205,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 205
239004082,0076,390040820076,2-3-9-004-082-0076,I 206,I206,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 206
239004082,0077,390040820077,2-3-9-004-082-0077,I 207,I207,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 207
239004082,0078,390040820078,2-3-9-004-082-0078,I 208,I208,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 208
239004082,0079,390040820079,2-3-9-004-082-0079,I 209,I209,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 209
239004082,0080,390040820080,2-3-9-004-082-0080,I 210,I210,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 210
239004082,0081,390040820081,2-3-9-004-082-0081,I 211,I211,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 211
239004082,0082,390040820082,2-3-9-004-082-0082,I 212,I212,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 212
239004082,0083,390040820083,2-3-9-004-082-0083,I 214,I214,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 214
239004082,0084,390040820084,2-3-9-004-082-0084,I 215,I215,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 215
239004082,0085,390040820085,2-3-9-004-082-0085,I 216,I216,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 216
239004082,0086,390040820086,2-3-9-004-082-0086,I 217,I217,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 217
239004082,0087,390040820087,2-3-9-004-082-0087,I 218,I218,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 218
239004082,0088,390040820088,2-3-9-004-082-0088,I 219,I219,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT I 219
239004082,0089,390040820089,2-3-9-004-082-0089,D 101,D101,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 101
239004082,0090,390040820090,2-3-9-004-082-0090,D 102,D102,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 102
239004082,0091,390040820091,2-3-9-004-082-0091,D 103,D103,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 103
239004082,0092,390040820092,2-3-9-004-082-0092,D 104,D104,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 104
239004082,0093,390040820093,2-3-9-004-082-0093,D 105,D105,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 105
239004082,0094,390040820094,2-3-9-004-082-0094,D 106,D106,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 106
239004082,0095,390040820095,2-3-9-004-082-0095,D 107,D107,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 107
239004082,0096,390040820096,2-3-9-004-082-0096,D 108,D108,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 108
239004082,0097,390040820097,2-3-9-004-082-0097,D 109,D109,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 109
239004082,0098,390040820098,2-3-9-004-082-0098,D 110,D110,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 110
239004082,0099,390040820099,2-3-9-004-082-0099,D 111,D111,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 111
239004082,0100,390040820100,2-3-9-004-082-0100,D 112,D112,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 112
239004082,0101,390040820101,2-3-9-004-082-0101,D 201,D201,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 201
239004082,0102,390040820102,2-3-9-004-082-0102,D 202,D202,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 202
239004082,0103,390040820103,2-3-9-004-082-0103,D 203,D203,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT D 203
239004082,0104,390040820104,2-3-9-004-082-0104,D 204,D204,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 204
239004082,0105,390040820105,2-3-9-004-082-0105,D 205,D205,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT D 205
239004082,0106,390040820106,2-3-9-004-082-0106,D 206,D206,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 206
239004082,0107,390040820107,2-3-9-004-082-0107,D 207,D207,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 207
239004082,0108,390040820108,2-3-9-004-082-0108,D 208,D208,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 208
239004082,0109,390040820109,2-3-9-004-082-0109,D 209,D209,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 209
239004082,0110,390040820110,2-3-9-004-082-0110,D 210,D210,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 210
239004082,0111,390040820111,2-3-9-004-082-0111,D 211,D211,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 211
239004082,0112,390040820112,2-3-9-004-082-0112,D 212,D212,MAUI KAMAOLE,2777 S KIHEI RD UNIT D 212
239004082,0113,390040820113,2-3-9-004-082-0113,E 101,E101,MAUI KAMAOLE,2777 S KIHEI RD UNIT E 101
239004082,0114,390040820114,2-3-9-004-082-0114,E 102,E102,MAUI KAMAOLE,2777 S KIHEI RD UNIT E 102
239004082,0115,390040820115,2-3-9-004-082-0115,E 103,E103,MAUI KAMAOLE,2777 S KIHEI RD UNIT E 103
239004082,0116,390040820116,2-3-9-004-082-0116,E 104,E104,MAUI KAMAOLE,2777 S KIHEI RD UNIT E 104
239004082,0117,390040820117,2-3-9-004-082-0117,E 201,E201,MAUI KAMAOLE,2777 S KIHEI RD UNIT E 201
239004082,0118,390040820118,2-3-9-004-082-0118,E 202,E202,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT E 202
239004082,0119,390040820119,2-3-9-004-082-0119,E 203,E203,MAUI KAMAOLE,2777 S KIHEI RD UNIT E 203
239004082,0120,390040820120,2-3-9-004-082-0120,E 204,E204,MAUI KAMAOLE,2777 S KIHEI RD UNIT E 204
239004082,0121,390040820121,2-3-9-004-082-0121,J 101,J101,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 101
239004082,0122,390040820122,2-3-9-004-082-0122,J 102,J102,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 102
239004082,0123,390040820123,2-3-9-004-082-0123,J 103,J103,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 103
239004082,0124,390040820124,2-3-9-004-082-0124,J 104,J104,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 104
239004082,0125,390040820125,2-3-9-004-082-0125,J 105,J105,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 105
239004082,0126,390040820126,2-3-9-004-082-0126,J 106,J106,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 106
239004082,0127,390040820127,2-3-9-004-082-0127,J 107,J107,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 107
239004082,0128,390040820128,2-3-9-004-082-0128,J 108,J108,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 108
239004082,0129,390040820129,2-3-9-004-082-0129,J 109,J109,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 109
239004082,0130,390040820130,2-3-9-004-082-0130,J 110,J110,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 110
239004082,0131,390040820131,2-3-9-004-082-0131,J 111,J111,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 111
239004082,0132,390040820132,2-3-9-004-082-0132,J 112,J112,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 112
239004082,0133,390040820133,2-3-9-004-082-0133,J 114,J114,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 114
239004082,0134,390040820134,2-3-9-004-082-0134,J 115,J115,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 115
239004082,0135,390040820135,2-3-9-004-082-0135,J 116,J116,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 116
239004082,0136,390040820136,2-3-9-004-082-0136,J 117,J117,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 117
239004082,0137,390040820137,2-3-9-004-082-0137,J 118,J118,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 118
239004082,0138,390040820138,2-3-9-004-082-0138,J 119,J119,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 119
239004082,0139,390040820139,2-3-9-004-082-0139,J 120,J120,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 120
239004082,0140,390040820140,2-3-9-004-082-0140,J 121,J121,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 121
239004082,0141,390040820141,2-3-9-004-082-0141,J 201,J201,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 201
239004082,0142,390040820142,2-3-9-004-082-0142,J 202,J202,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 202
239004082,0143,390040820143,2-3-9-004-082-0143,J 203,J203,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 203
239004082,0144,390040820144,2-3-9-004-082-0144,J 204,J204,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 204
239004082,0145,390040820145,2-3-9-004-082-0145,J 205,J205,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 205
239004082,0146,390040820146,2-3-9-004-082-0146,J 206,J206,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 206
239004082,0147,390040820147,2-3-9-004-082-0147,J 207,J207,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 207
239004082,0148,390040820148,2-3-9-004-082-0148,J 208,J208,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 208
239004082,0149,390040820149,2-3-9-004-082-0149,J 209,J209,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 209
239004082,0150,390040820150,2-3-9-004-082-0150,J 210,J210,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 210
239004082,0151,390040820151,2-3-9-004-082-0151,J 211,J211,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 211
239004082,0152,390040820152,2-3-9-004-082-0152,J 212,J212,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 212
239004082,0153,390040820153,2-3-9-004-082-0153,J 214,J214,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 214
239004082,0154,390040820154,2-3-9-004-082-0154,J 215,J215,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 215
239004082,0155,390040820155,2-3-9-004-082-0155,J 216,J216,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 216
239004082,0156,390040820156,2-3-9-004-082-0156,J 217,J217,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 217
239004082,0157,390040820157,2-3-9-004-082-0157,J 218,J218,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 218
239004082,0158,390040820158,2-3-9-004-082-0158,J 219,J219,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 219
239004082,0159,390040820159,2-3-9-004-082-0159,J 220,J220,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 220
239004082,0160,390040820160,2-3-9-004-082-0160,J 221,J221,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT J 221
239004082,0161,390040820161,2-3-9-004-082-0161,L 101,L101,MAUI KAMAOLE,2777 S KIHEI RD UNIT L 101
239004082,0162,390040820162,2-3-9-004-082-0162,L 102,L102,MAUI KAMAOLE,2777 S KIHEI RD UNIT L 102
239004082,0163,390040820163,2-3-9-004-082-0163,L 103,L103,MAUI KAMAOLE,2777 S KIHEI RD UNIT L 103
239004082,0164,390040820164,2-3-9-004-082-0164,L 104,L104,MAUI KAMAOLE,2777 S KIHEI RD UNIT L 104
239004082,0165,390040820165,2-3-9-004-082-0165,L 105,L105,MAUI KAMAOLE,2777 S KIHEI RD UNIT L 105
239004082,0166,390040820166,2-3-9-004-082-0166,L 106,L106,MAUI KAMAOLE,2777 S KIHEI RD UNIT L 106
239004082,0167,390040820167,2-3-9-004-082-0167,L 107,L107,MAUI KAMAOLE,2777 S KIHEI RD UNIT L 107
239004082,0168,390040820168,2-3-9-004-082-0168,L 108,L108,MAUI KAMAOLE,2777 S KIHEI RD UNIT L 108
239004082,0169,390040820169,2-3-9-004-082-0169,L 109,L109,MAUI KAMAOLE,2777 S KIHEI RD UNIT L 109
239004082,0170,390040820170,2-3-9-004-082-0170,L 110,L110,MAUI KAMAOLE,2777 S KIHEI RD UNIT L 110
239004082,0171,390040820171,2-3-9-004-082-0171,L 201,L201,MAUI KAMAOLE,2777 S KIHEI RD UNIT L 201
239004082,0172,390040820172,2-3-9-004-082-0172,L 202,L202,MAUI KAMAOLE,2777 S KIHEI RD UNIT L 202
239004082,0173,390040820173,2-3-9-004-082-0173,L 203,L203,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT L 203
239004082,0174,390040820174,2-3-9-004-082-0174,L 204,L204,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT L 204
239004082,0175,390040820175,2-3-9-004-082-0175,L 205,L205,MAUI KAMAOLE,2777 S KIHEI RD UNIT L 205
239004082,0176,390040820176,2-3-9-004-082-0176,L 206,L206,MAUI KAMAOLE,2777 S KIHEI RD UNIT L 206
239004082,0177,390040820177,2-3-9-004-082-0177,L 207,L207,MAUI KAMAOLE,2777 S KIHEI RD UNIT L 207
239004082,0178,390040820178,2-3-9-004-082-0178,L 208,L208,MAUI KAMAOLE,2777 S KIHEI RD UNIT L 208
239004082,0179,390040820179,2-3-9-004-082-0179,L 209,L209,MAUI KAMAOLE,2777 S KIHEI RD UNIT L 209
239004082,0180,390040820180,2-3-9-004-082-0180,L 210,L210,MAUI KAMAOLE,2777 S KIHEI RD UNIT L 210
239004082,0181,390040820181,2-3-9-004-082-0181,K 101,K101,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 101
239004082,0182,390040820182,2-3-9-004-082-0182,K 102,K102,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 102
239004082,0183,390040820183,2-3-9-004-082-0183,K 103,K103,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 103
239004082,0184,390040820184,2-3-9-004-082-0184,K 104,K104,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 104
239004082,0185,390040820185,2-3-9-004-082-0185,K 105,K105,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 105
239004082,0186,390040820186,2-3-9-004-082-0186,K 106,K106,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 106
239004082,0187,390040820187,2-3-9-004-082-0187,K 107,K107,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 107
239004082,0188,390040820188,2-3-9-004-082-0188,K 108,K108,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 108
239004082,0189,390040820189,2-3-9-004-082-0189,K 109,K109,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 109
239004082,0190,390040820190,2-3-9-004-082-0190,K 110,K110,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 110
239004082,0191,390040820191,2-3-9-004-082-0191,K 201,K201,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 201
239004082,0192,390040820192,2-3-9-004-082-0192,K 202,K202,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 202
239004082,0193,390040820193,2-3-9-004-082-0193,K 203,K203,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 203
239004082,0194,390040820194,2-3-9-004-082-0194,K 204,K204,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 204
239004082,0195,390040820195,2-3-9-004-082-0195,K 205,K205,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 205
239004082,0196,390040820196,2-3-9-004-082-0196,K 206,K206,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 206
239004082,0197,390040820197,2-3-9-004-082-0197,K 207,K207,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 207
239004082,0198,390040820198,2-3-9-004-082-0198,K 208,K208,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 208
239004082,0199,390040820199,2-3-9-004-082-0199,K 209,K209,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 209
239004082,0200,390040820200,2-3-9-004-082-0200,K 210,K210,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT K 210
239004082,0201,390040820201,2-3-9-004-082-0201,M 101,M101,MAUI KAMAOLE,2777 S KIHEI RD UNIT M 101
239004082,0202,390040820202,2-3-9-004-082-0202,M 102,M102,MAUI KAMAOLE,2777 S KIHEI RD UNIT M 102
239004082,0203,390040820203,2-3-9-004-082-0203,M 103,M103,MAUI KAMAOLE,2777 S KIHEI RD UNIT M 103
239004082,0204,390040820204,2-3-9-004-082-0204,M 104,M104,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT M 104
239004082,0205,390040820205,2-3-9-004-082-0205,M 105,M105,MAUI KAMAOLE,2777 S KIHEI RD UNIT M 105
239004082,0206,390040820206,2-3-9-004-082-0206,M 106,M106,MAUI KAMAOLE,2777 S KIHEI RD UNIT M 106
239004082,0207,390040820207,2-3-9-004-082-0207,M 107,M107,MAUI KAMAOLE,2777 S KIHEI RD UNIT M 107
239004082,0208,390040820208,2-3-9-004-082-0208,M 108,M108,MAUI KAMAOLE,2777 S KIHEI RD UNIT M 108
